,year,month,value
0,2017,January,7.676470588235294
1,2017,February,6.83625730994152
2,2017,March,6.64625850340136
3,2017,April,3.0
4,2017,May,1.5934959349593496
5,2017,June,1.763779527559055
6,2017,July,1.4142857142857144
7,2017,August,1.7467532467532467
8,2017,September,1.610738255033557
9,2017,October,3.462962962962963
10,2017,November,7.45575221238938
11,2017,December,5.950617283950617
12,2018,January,8.551111111111112
13,2018,February,8.77319587628866
14,2018,March,6.827586206896552
15,2018,April,2.871287128712871
16,2018,May,1.2232142857142858
17,2018,June,1.4
18,2018,July,1.59375
19,2018,August,1.094488188976378
20,2018,September,1.776
21,2018,October,2.044776119402985
22,2018,November,6.840764331210191
23,2018,December,7.772020725388601
24,2019,January,7.774436090225564
25,2019,February,7.9375
26,2019,March,4.117647058823529
27,2019,April,2.459016393442623
28,2019,May,1.796875
29,2019,June,1.8846153846153846
30,2019,July,1.9594594594594594
31,2019,August,2.4027777777777777
32,2019,September,1.4878048780487805
33,2019,October,3.253012048192771
34,2019,November,5.915966386554622
35,2019,December,8.095238095238095
36,2020,January,8.647540983606557
37,2020,February,6.604938271604938
38,2020,March,6.075949367088608
39,2020,April,2.1944444444444446
40,2020,May,1.0666666666666667
41,2020,June,2.3125
42,2020,July,2.0
43,2020,August,1.8507462686567164
44,2020,September,1.6296296296296295
45,2020,October,4.711538461538462
46,2020,November,7.168224299065421
47,2020,December,6.352941176470588
48,2021,January,7.0675675675675675
49,2021,February,8.457831325301205
50,2021,March,5.085714285714285
51,2021,April,2.4680851063829787
52,2021,May,1.5344827586206897
53,2021,June,1.5945945945945945
54,2021,July,1.7166666666666666
55,2021,August,1.44
56,2021,September,1.9066666666666667
57,2021,October,2.755813953488372
58,2021,November,6.414414414414415
59,2021,December,8.494623655913978
